,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-03-31,2022-04-28,4.4943,None,None,None
1,2021-12-31,2022-01-28,3.8579,None,None,None
2,2021-09-30,2021-10-24,6.8087,None,None,None
3,2021-06-30,2021-07-21,26.6568,0,26.6568,None
4,2021-03-31,2021-04-25,19.4344,None,None,None
5,2020-12-31,2021-01-28,11.9531,None,None,None
6,2020-09-30,2020-10-22,8.3358,None,None,None
7,2020-06-30,2020-07-21,5.0204,None,None,None
8,2020-03-31,2020-04-23,0.4144,None,None,None
9,2019-12-31,2020-01-31,0.13,1.2,-1.07,-89.1667
10,2019-09-30,2019-11-20,1.22,1.17,0.05,4.2735
11,2019-06-30,2019-07-22,1.5657,1.6,-0.0343,-2.1438
12,2019-03-31,2019-05-06,2.05,2.01,0.04,1.99
13,2018-12-31,2019-01-30,-2.41,2.1,-4.51,-214.7619
14,2018-09-30,2018-10-23,2.8074,2.83,-0.0226,-0.7986
15,2018-06-30,2018-07-23,1.49,1.86,-0.37,-19.8925
16,2018-03-31,2018-04-24,11.5,2.34,9.16,391.453
17,2017-12-31,2018-02-14,1.55,2.03,-0.48,-23.6453
18,2017-09-30,2017-10-26,2.4133,1.64,0.7733,47.1524
19,2017-06-30,2017-07-20,1.3863,0.95,0.4363,45.9263
20,2017-03-31,2017-05-26,2.29,2.16,0.13,6.0185
21,2016-12-31,2017-03-03,0.43,1.11,-0.68,-61.2613
22,2016-09-30,2016-11-14,1.5,1.74,-0.24,-13.7931
23,2016-06-30,2016-07-21,0.8114,0.58,0.2314,39.8966
24,2016-03-31,2016-04-21,0.921,None,None,None
25,2015-12-31,2016-01-28,0.4784,None,None,None
26,2015-09-30,2015-10-20,-1.4576,None,None,None
27,2015-06-30,2015-07-15,0.5412,None,None,None
28,2015-03-31,2015-04-21,0.9388,None,None,None
29,2014-12-31,2015-01-29,-0.5756,None,None,None
30,2014-09-30,2014-10-23,0.6967,None,None,None
31,2014-06-30,2014-07-24,1.5428,None,None,None
32,2014-03-31,2014-04-24,0.1812,None,None,None
33,2013-12-31,2014-01-28,0.8065,None,None,None
34,2013-09-30,2013-10-25,1.6198,None,None,None
35,2013-06-30,2013-07-25,0.7165,None,None,None
36,2013-03-31,2013-04-25,0.8224,None,None,None
37,2012-12-31,2013-01-29,1.7735,None,None,None
38,2012-09-30,2012-10-23,2.0878,None,None,None
39,2012-06-30,2012-07-24,1.4298,None,None,None
40,2012-03-31,2012-04-20,1.8018,None,None,None
41,2011-12-31,2012-02-03,2.8492,None,None,None
42,2011-06-30,2011-07-22,3.9529,None,None,None
43,2011-03-31,2011-04-22,3.1511,None,None,None
44,2010-12-31,2011-01-13,1.4953,None,None,None
45,2010-09-30,2010-10-12,2.8866,None,None,None
46,2010-06-30,2010-07-13,3.3038,None,None,None
47,2010-03-31,2010-04-13,4.0533,None,None,None
48,2009-12-31,2010-01-14,3.5559,None,None,None
49,2009-09-30,2009-10-14,3.0609,None,None,None
50,2009-06-30,2009-08-25,1.1063,None,None,None
51,2009-03-31,2009-04-14,0.7417,None,None,None
52,2008-12-31,2009-01-15,1.7918,None,None,None
53,2008-09-30,2008-10-14,3.6855,None,None,None
54,2008-06-30,2008-07-11,4.7697,None,None,None
55,2008-03-31,2008-04-11,3.5549,None,None,None
56,2006-12-31,2007-01-15,6.6025,None,None,None
57,2006-06-30,2006-07-14,2.3248,None,None,None
58,2006-03-31,2006-04-10,2.178,None,None,None
59,2005-12-31,2006-01-12,1.1766,None,None,None
60,2004-06-30,2004-07-16,2.424,None,None,None
61,2004-03-31,2004-04-12,1.9161,None,None,None
62,2003-03-31,2003-04-11,1.2062,None,None,None
